ID,NOMBRE,COMPLETADO,EXTRA
IRN8,,NO,0
IRN9,,NO,0
IRN10,,NO,0
IRN11,,NO,0
IRN12,,NO,0
IRN13,EQUIPO,NO,0
IRN14,,NO,0
IRN15,,NO,0
IRN16,,NO,0
IRN17,,NO,0
IRN18,,NO,0
IRN19,,NO,0
IRN20,,NO,0
NZL1,ESCUDO,NO,0
NZL2,,NO,0
NZL3,,NO,0
NZL4,,NO,0
NZLS,,NO,0
NZL6,,NO,0
NZL7,,NO,0
NZLB,,NO,0
NZL9,,NO,0
NZL10,,NO,0
NZL11,,NO,0
NZL12,,NO,0
NZL13,EQUIPO,NO,0
NZL14,,NO,0
NZL15,,NO,0
NZL16,,NO,0
NZL17,,NO,0
NZL18,,NO,0
NZL19,,NO,0
NZL20,,NO,0
ESP1,ESCUDO,NO,0
ESP2,,NO,0
ESP3,,NO,0
ESP4,,NO,0
ESP5,,NO,0
ESP6,,NO,0
ESP7,,NO,0
ESP8,,NO,0
ESP9,,NO,0
ESP10,,NO,0
ESP11,,NO,0
ESP12,,NO,0
ESP13,EQUIPO,NO,0
ESP14,,NO,0
ESP15,,NO,0
ESP16,,NO,0
ESP17,,NO,0
ESP18,,NO,0
ESP19,,NO,0
ESP20,,NO,0
CPV1,ESCUDO,NO,0
CPV2,,NO,0
CPV3,,NO,0
CPV4,,NO,0
CPV5,,NO,0
CPV6,,NO,0
CPV7,,NO,0
CPV8,,NO,0
CPV9,,NO,0
CPV10,,NO,0
CPV11,,NO,0
CPV12,,NO,0
CPV13,EQUIPO,NO,0
CPV14,,NO,0
CPV15,,NO,0
CPV16,,NO,0
CPV17,,NO,0
CPV18,,NO,0
CPV19,,NO,0
CPV20,,NO,0
KSA1,ESCUDO,NO,0
KSA2,,NO,0
KSA3,,NO,0
KSA4,,NO,0
KSA5,,NO,0
KSA6,,NO,0
KSA7,,NO,0
KSA8,,NO,0
KSA9,,NO,0
KSA10,,NO,0
KSA11,,NO,0
KSA12,,NO,0
KSA13,EQUIPO,NO,0
KSA14,,NO,0
KSA15,,NO,0
KSA16,,NO,0
KSA17,,NO,0
KSA18,,NO,0
KSA19,,NO,0
KSA20,,NO,0
URU1,ESCUDO,NO,0
URU2,,NO,0
URU3,,NO,0
URU4,,NO,0
URU5,,NO,0
URU6,,NO,0
URU7,,NO,0
URU8,,NO,0
URU9,,NO,0
URU10,,NO,0
URU11,,NO,0
URU12,,NO,0
URU13,EQUIPO,NO,0
URU14,,NO,0
URU15,,NO,0
URU16,,NO,0
URU17,,NO,0
URU18,,NO,0
URU19,,NO,0
URU20,,NO,0
FRA1,ESCUDO,NO,0
FRA2,,NO,0
FRA3,,NO,0
FRA4,,NO,0
FRA5,,NO,0
FRA6,,NO,0
FRA7,,NO,0
FRA8,,NO,0
FRA9,,NO,0
FRA10,,NO,0
FRA11,,NO,0
FRA12,,NO,0
FRA13,EQUIPO,NO,0
FRA14,,NO,0
FRA15,,NO,0
FRA16,,NO,0
FRA17,,NO,0
FRA18,,NO,0
FRA19,,NO,0
FRA20,,NO,0
SEN1,ESCUDO,NO,0
SEN2,,NO,0
SEN3,,NO,0
SEN4,,NO,0
SEN5,,NO,0
SEN6,,NO,0
SEN7,,NO,0
SEN8,,NO,0
SEN9,,NO,0
SEN10,,NO,0
SEN11,,NO,0
SEN12,,NO,0
SEN13,EQUIPO,NO,0
SEN14,,NO,0
SEN15,,NO,0
SEN16,,NO,0
SEN17,,NO,0
SEN18,,NO,0
SEN19,,NO,0
SEN20,,NO,0
IRQ1,ESCUDO,NO,0
IRQ2,,NO,0
IRQ3,,NO,0
IRQ4,,NO,0
